Solving with SCIP 8.1.0 [LP solver: Glop 9.9]
Total makespan = 37.0
s 0 0 5.0
s 0 1 7.0
s 0 2 9.0
s 0 3 12.0
s 1 0 4.0
s 1 1 7.0
s 1 2 11.0
s 1 3 18.0
s 2 0 2.0
s 2 1 7.0
s 2 2 15.0
s 2 3 19.0
s 3 0 5.0
s 3 1 10.0
s 3 2 16.0
s 3 3 22.0
s 4 0 7.0
s 4 1 11.0
s 4 2 15.0
s 4 3 18.0
s 5 0 3.0
s 5 1 6.0
s 5 2 8.0
s 5 3 15.0
s 6 0 8.0
s 6 1 12.0
s 6 2 14.0
s 6 3 23.0
s 7 0 1.0
s 7 1 11.0
s 7 2 12.0
s 7 3 18.0
s 8 0 5.0
s 8 1 6.0
s 8 2 15.0
s 8 3 14.999999999999998
s 9 0 3.0
s 9 1 9.0
s 9 2 17.0
s 9 3 17.0
s 10 0 8.0
s 10 1 16.0
s 10 2 18.0
s 10 3 18.0
s 11 0 5.0
s 11 1 8.0
s 11 2 12.0
s 11 3 15.0
s 12 0 5.0
s 12 1 15.0
s 12 2 21.0
s 12 3 23.0
s 13 0 2.0
s 13 1 12.0
s 13 2 13.0
s 13 3 21.0
s 14 0 7.0
s 14 1 10.0
s 14 2 11.0
s 14 3 13.0
s 15 0 6.0
s 15 1 12.0
s 15 2 16.0
s 15 3 16.0
s 16 0 7.0
s 16 1 17.0
s 16 2 26.0
s 16 3 31.0
s 17 0 8.0
s 17 1 18.0
s 17 2 26.0
s 17 3 26.0
s 18 0 5.0
s 18 1 6.0
s 18 2 9.0
s 18 3 9.0
s 19 0 7.0
s 19 1 16.0
s 19 2 18.0
s 19 3 18.0
s 20 0 7.0
s 20 1 17.0
s 20 2 24.0
s 20 3 28.0
s 21 0 1.0
s 21 1 3.0
s 21 2 13.0
s 21 3 13.0
s 22 0 2.0
s 22 1 4.0
s 22 2 7.0
s 22 3 8.0
s 23 0 4.0
s 23 1 14.0
s 23 2 16.0
s 23 3 19.0
s 24 0 2.0
s 24 1 11.0
s 24 2 16.0
s 24 3 20.0
s 25 0 4.0
s 25 1 7.0
s 25 2 14.0
s 25 3 16.0
s 26 0 6.0
s 26 1 11.0
s 26 2 16.0
s 26 3 16.0
s 27 0 8.0
s 27 1 14.0
s 27 2 19.0
s 27 3 29.0
s 28 0 1.0
s 28 1 11.0
s 28 2 19.0
s 28 3 19.0
s 29 0 10.0
s 29 1 18.0
s 29 2 23.0
s 29 3 23.0
s 30 0 1.0
s 30 1 3.0
s 30 2 10.0
s 30 3 11.0
s 31 0 10.0
s 31 1 17.0
s 31 2 18.0
s 31 3 20.0
s 32 0 4.0
s 32 1 5.0
s 32 2 9.0
s 32 3 12.0
s 33 0 6.0
s 33 1 9.0
s 33 2 19.0
s 33 3 25.0
s 34 0 4.0
s 34 1 13.0
s 34 2 23.0
s 34 3 23.0
s 35 0 1.0
s 35 1 4.0
s 35 2 11.0
s 35 3 17.0
s 36 0 9.0
s 36 1 14.0
s 36 2 16.0
s 36 3 16.0
s 37 0 10.0
s 37 1 20.0
s 37 2 26.0
s 37 3 35.0
s 38 0 3.0
s 38 1 9.0
s 38 2 18.0
s 38 3 18.0
s 39 0 5.0
s 39 1 8.0
s 39 2 15.0
s 39 3 19.0
s 40 0 8.0
s 40 1 18.0
s 40 2 27.0
s 40 3 37.0
s 41 0 9.0
s 41 1 18.0
s 41 2 21.0
s 41 3 31.0
s 42 0 10.0
s 42 1 14.0
s 42 2 22.0
s 42 3 30.0
s 43 0 1.0
s 43 1 2.0
s 43 2 7.0
s 43 3 7.0
s 44 0 2.0
s 44 1 11.0
s 44 2 12.0
s 44 3 12.0
s 45 0 4.0
s 45 1 13.0
s 45 2 21.0
s 45 3 21.0
s 46 0 5.0
s 46 1 9.0
s 46 2 16.0
s 46 3 21.0
s 47 0 9.0
s 47 1 11.0
s 47 2 17.0
s 47 3 21.0
s 48 0 10.0
s 48 1 12.0
s 48 2 22.0
s 48 3 22.0
s 49 0 10.0
s 49 1 12.0
s 49 2 13.0
s 49 3 15.0
y 0 0 1.0
y 0 1 0.0
y 1 0 1.0
y 1 1 0.0
y 2 0 1.0
