C101
25 200


CUSTOMER
CUST NO.  XCOORD  YCOORD  DEMAND  READY TIME  DUE DATE  SERVICE TIME
0         55      67      0       0           500      0
1         52      69      30       186           445      10
2         92      64      17       67           243      2
3         33      44      7       174           248      10
4         40      92      17       46           441      4
5         87      8      9       187           266      1
6         78      62      24       50           464      9
7         28      61      28       178           293      8
8         20      82      29       131           500      10
9         38      64      4       130           491      6
10         4      56      13       157           328      1
11         28      87      14       7           259      5
12         42      79      28       193           351      4
13         12      22      13       46           360      6
14         39      82      14       31           343      3
15         83      11      27       138           459      3
16         20      7      21       191           299      8
17         75      43      17       138           228      5
18         75      13      10       4           229      4
19         76      34      19       112           435      1
20         37      72      18       113           449      1
21         73      100      20       164           417      6
22         62      6      15       189           410      3
23         4      61      8       19           498      6
24         52      32      20       50           239      5
25         70      56      12       137           383      5
26         37      78      11       173           232      3
27         95      10      25       34           275      10
28         93      42      27       147           287      9
29         66      19      27       173           228      3
30         53      40      27       181           322      2
31         3      42      6       99           330      7
32         51      40      29       36           384      1
33         87      38      6       70           335      7
34         25      48      7       120           229      1
35         62      64      30       148           367      4
36         33      94      28       56           225      9
37         94      34      7       23           422      4
38         6      23      18       98           377      4
39         1      86      20       168           399      8
40         41      5      22       187           248      3
41         38      19      4       54           221      8
42         58      29      2       42           348      2
43         8      58      28       1           443      6
44         82      13      25       195           470      9
45         96      9      18       113           282      6
46         87      29      29       56           285      7
47         49      12      9       177           303      10
48         75      26      12       52           362      1
49         75      35      4       30           211      2
50         88      94      8       1           214      8
51         83      92      29       78           355      2
52         13      18      10       161           230      3
53         41      86      8       11           446      5
54         80      25      14       167           410      10
55         77      96      26       127           378      9
56         37      45      12       30           499      1
57         7      97      7       155           318      2
58         50      14      12       4           406      1
59         94      90      1       162           335      8
60         46      11      26       153           332      5
61         61      16      18       193           500      2
62         49      56      15       79           353      6
63         18      92      12       145           405      3
64         76      19      25       75           386      6
65         75      69      24       0           213      8
66         86      98      10       136           421      6
67         35      71      4       75           382      4
68         6      25      13       158           225      7
69         74      8      7       44           203      7
70         77      31      20       175           500      7
71         8      22      6       121           462      4
72         30      77      19       196           475      9
73         3      83      15       195           311      6
74         8      59      19       32           359      3
75         48      17      27       88           225      8
76         99      71      5       22           290      6
77         84      16      19       30           403      4
78         10      78      21       195           274      2
79         15      33      18       96           351      3
80         64      36      11       191           301      5
81         14      74      19       4           488      5
82         18      62      19       87           295      2
83         49      90      25       142           462      6
84         96      85      10       47           339      6
85         34      44      10       10           345      7
86         67      89      10       127           278      2
87         96      40      10       110           214      3
88         94      9      19       109           444      9
89         57      67      7       65           435      3
90         72      22      18       134           448      8
91         10      50      13       160           467      3
92         0      93      8       199           431      9
93         87      92      7       59           394      6
94         89      54      24       174           471      10
95         95      63      30       118           457      5
96         83      66      2       156           398      6
97         39      34      29       45           212      8
98         47      98      14       167           402      10
99         35      80      28       158           325      2
100         31      54      15       127           265      1
